mode,event_id,attempt,applied,observed_total,latency_ms
idempotent,4,1,1,4,0.862
idempotent,4,2,0,4,0.608
idempotent,4,3,0,4,0.590
idempotent,5,1,1,5,0.894
idempotent,5,2,0,5,0.569
idempotent,5,3,0,5,0.577
idempotent,6,1,1,6,0.873
idempotent,6,2,0,6,0.574
idempotent,6,3,0,6,0.575
idempotent,7,1,1,7,0.898
idempotent,7,2,0,7,0.586
idempotent,7,3,0,7,0.580
idempotent,8,1,1,8,0.869
idempotent,8,2,0,8,0.592
idempotent,8,3,0,8,0.597
idempotent,9,1,1,9,0.877
idempotent,9,2,0,9,0.572
idempotent,9,3,0,9,0.579
idempotent,10,1,1,10,0.866
idempotent,10,2,0,10,0.567
idempotent,10,3,0,10,0.595
idempotent,11,1,1,11,0.879
idempotent,11,2,0,11,0.593
idempotent,11,3,0,11,0.600
idempotent,12,1,1,12,1.942
idempotent,12,2,0,12,0.629
idempotent,12,3,0,12,0.583
idempotent,13,1,1,13,0.887
idempotent,13,2,0,13,0.589
idempotent,13,3,0,13,0.575
idempotent,14,1,1,14,0.865
idempotent,14,2,0,14,0.585
idempotent,14,3,0,14,0.580
idempotent,15,1,1,15,0.873
idempotent,15,2,0,15,0.574
idempotent,15,3,0,15,0.584
idempotent,16,1,1,16,0.887
idempotent,16,2,0,16,1.438
idempotent,16,3,0,16,0.584
idempotent,17,1,1,17,0.862
idempotent,17,2,0,17,0.574
idempotent,17,3,0,17,0.539
idempotent,18,1,1,18,0.893
idempotent,18,2,0,18,0.569
idempotent,18,3,0,18,0.588
idempotent,19,1,1,19,0.879
idempotent,19,2,0,19,0.593
idempotent,19,3,0,19,0.587
idempotent,20,1,1,20,0.889
idempotent,20,2,0,20,0.591
idempotent,20,3,0,20,0.584
idempotent,21,1,1,21,0.863
idempotent,21,2,0,21,0.606
idempotent,21,3,0,21,0.590
idempotent,22,1,1,22,0.898
idempotent,22,2,0,22,0.575
idempotent,22,3,0,22,0.596
idempotent,23,1,1,23,0.872
idempotent,23,2,0,23,0.581
idempotent,23,3,0,23,0.580
idempotent,24,1,1,24,0.866
idempotent,24,2,0,24,0.571
idempotent,24,3,0,24,0.582
idempotent,25,1,1,25,0.858
idempotent,25,2,0,25,0.588
idempotent,25,3,0,25,0.576
idempotent,26,1,1,26,0.886
idempotent,26,2,0,26,0.569
idempotent,26,3,0,26,0.595
idempotent,27,1,1,27,0.880
idempotent,27,2,0,27,0.584
idempotent,27,3,0,27,0.589
idempotent,28,1,1,28,0.872
idempotent,28,2,0,28,0.575
idempotent,28,3,0,28,0.587
idempotent,29,1,1,29,0.876
idempotent,29,2,0,29,0.587
idempotent,29,3,0,29,0.602
idempotent,30,1,1,30,0.875
idempotent,30,2,0,30,0.566
idempotent,30,3,0,30,1.392
idempotent,31,1,1,31,0.870
idempotent,31,2,0,31,0.571
idempotent,31,3,0,31,0.569
idempotent,32,1,1,32,0.869
idempotent,32,2,0,32,0.581
idempotent,32,3,0,32,0.565
idempotent,33,1,1,33,2.067
idempotent,33,2,0,33,0.578
idempotent,33,3,0,33,0.587
idempotent,34,1,1,34,0.883
idempotent,34,2,0,34,0.574
idempotent,34,3,0,34,0.565
idempotent,35,1,1,35,0.868
idempotent,35,2,0,35,0.572
idempotent,35,3,0,35,0.577
idempotent,36,1,1,36,1.822
idempotent,36,2,0,36,0.587
idempotent,36,3,0,36,0.592
idempotent,37,1,1,37,0.868
idempotent,37,2,0,37,0.587
idempotent,37,3,0,37,0.576
idempotent,38,1,1,38,0.851
idempotent,38,2,0,38,0.577
idempotent,38,3,0,38,0.594
idempotent,39,1,1,39,0.899
idempotent,39,2,0,39,0.584
idempotent,39,3,0,39,0.582
idempotent,40,1,1,40,0.868
idempotent,40,2,0,40,0.585
idempotent,40,3,0,40,0.579
idempotent,41,1,1,41,0.941
idempotent,41,2,0,41,0.574
idempotent,41,3,0,41,0.619
idempotent,42,1,1,42,0.889
idempotent,42,2,0,42,0.585
idempotent,42,3,0,42,0.612
idempotent,43,1,1,43,0.883
idempotent,43,2,0,43,0.580
idempotent,43,3,0,43,0.588
idempotent,44,1,1,44,0.875
idempotent,44,2,0,44,0.834
idempotent,44,3,0,44,0.613
idempotent,45,1,1,45,0.967
idempotent,45,2,0,45,0.589
idempotent,45,3,0,45,0.579
idempotent,46,1,1,46,0.871
idempotent,46,2,0,46,0.609
idempotent,46,3,0,46,0.574
idempotent,47,1,1,47,0.892
idempotent,47,2,0,47,0.576
idempotent,47,3,0,47,0.577
idempotent,48,1,1,48,0.873
idempotent,48,2,0,48,0.569
idempotent,48,3,0,48,0.569
idempotent,49,1,1,49,1.070
idempotent,49,2,0,49,0.614
idempotent,49,3,0,49,0.593
idempotent,50,1,1,50,0.885
idempotent,50,2,0,50,0.593
idempotent,50,3,0,50,0.586
idempotent,51,1,1,51,0.901
idempotent,51,2,0,51,0.583
idempotent,51,3,0,51,0.589
idempotent,52,1,1,52,0.881
idempotent,52,2,0,52,0.603
idempotent,52,3,0,52,0.572
idempotent,53,1,1,53,0.874
idempotent,53,2,0,53,0.594
idempotent,53,3,0,53,0.564
idempotent,54,1,1,54,0.882
idempotent,54,2,0,54,0.583
idempotent,54,3,0,54,0.565
idempotent,55,1,1,55,0.905
idempotent,55,2,0,55,0.573
idempotent,55,3,0,55,0.566
idempotent,56,1,1,56,0.877
idempotent,56,2,0,56,0.596
idempotent,56,3,0,56,0.574
idempotent,57,1,1,57,0.853
idempotent,57,2,0,57,0.561
idempotent,57,3,0,57,0.569
idempotent,58,1,1,58,0.868
idempotent,58,2,0,58,0.605
idempotent,58,3,0,58,0.671
idempotent,59,1,1,59,0.866
idempotent,59,2,0,59,0.581
idempotent,59,3,0,59,0.564
idempotent,60,1,1,60,0.910
idempotent,60,2,0,60,0.589
idempotent,60,3,0,60,0.561
idempotent,61,1,1,61,0.886
idempotent,61,2,0,61,0.568
idempotent,61,3,0,61,0.577
idempotent,62,1,1,62,0.866
idempotent,62,2,0,62,0.577
idempotent,62,3,0,62,0.578
idempotent,63,1,1,63,0.863
idempotent,63,2,0,63,0.596
idempotent,63,3,0,63,0.575
idempotent,64,1,1,64,0.860
idempotent,64,2,0,64,0.581
idempotent,64,3,0,64,0.589
idempotent,65,1,1,65,0.868
idempotent,65,2,0,65,0.573
idempotent,65,3,0,65,0.589
idempotent,66,1,1,66,0.902
idempotent,66,2,0,66,0.565
idempotent,66,3,0,66,0.604
idempotent,67,1,1,67,0.910
idempotent,67,2,0,67,0.575
idempotent,67,3,0,67,0.576
idempotent,68,1,1,68,0.876
idempotent,68,2,0,68,0.575
idempotent,68,3,0,68,0.604
idempotent,69,1,1,69,0.905
idempotent,69,2,0,69,0.585
idempotent,69,3,0,69,0.576
idempotent,70,1,1,70,0.879
idempotent,70,2,0,70,0.576
idempotent,70,3,0,70,0.561
idempotent,71,1,1,71,0.873
idempotent,71,2,0,71,0.582
idempotent,71,3,0,71,0.864
idempotent,72,1,1,72,0.867
idempotent,72,2,0,72,0.580
idempotent,72,3,0,72,0.565
idempotent,73,1,1,73,0.897
idempotent,73,2,0,73,0.572
idempotent,73,3,0,73,0.572
idempotent,74,1,1,74,0.876
idempotent,74,2,0,74,0.555
idempotent,74,3,0,74,0.578
idempotent,75,1,1,75,0.945
idempotent,75,2,0,75,0.588
idempotent,75,3,0,75,0.601
idempotent,76,1,1,76,0.869
idempotent,76,2,0,76,0.577
idempotent,76,3,0,76,0.584
idempotent,77,1,1,77,0.886
idempotent,77,2,0,77,0.574
idempotent,77,3,0,77,0.571
idempotent,78,1,1,78,0.879
idempotent,78,2,0,78,0.571
idempotent,78,3,0,78,0.566
idempotent,79,1,1,79,0.871
idempotent,79,2,0,79,0.571
idempotent,79,3,0,79,0.576
idempotent,80,1,1,80,0.861
idempotent,80,2,0,80,0.826
idempotent,80,3,0,80,0.565
idempotent,81,1,1,81,0.875
idempotent,81,2,0,81,0.589
idempotent,81,3,0,81,0.587
idempotent,82,1,1,82,0.880
idempotent,82,2,0,82,0.583
idempotent,82,3,0,82,0.583
idempotent,83,1,1,83,0.812
idempotent,83,2,0,83,0.484
idempotent,83,3,0,83,0.480
idempotent,84,1,1,84,1.173
idempotent,84,2,0,84,0.480
idempotent,84,3,0,84,0.462
idempotent,85,1,1,85,0.738
idempotent,85,2,0,85,0.505
idempotent,85,3,0,85,0.491
idempotent,86,1,1,86,0.713
idempotent,86,2,0,86,0.482
idempotent,86,3,0,86,0.635
idempotent,87,1,1,87,0.742
idempotent,87,2,0,87,0.509
idempotent,87,3,0,87,0.582
idempotent,88,1,1,88,0.739
idempotent,88,2,0,88,0.481
idempotent,88,3,0,88,0.466
idempotent,89,1,1,89,0.726
idempotent,89,2,0,89,0.478
idempotent,89,3,0,89,0.474
idempotent,90,1,1,90,0.732
idempotent,90,2,0,90,0.473
idempotent,90,3,0,90,0.467
idempotent,91,1,1,91,0.722
idempotent,91,2,0,91,0.474
idempotent,91,3,0,91,0.462
idempotent,92,1,1,92,0.940
idempotent,92,2,0,92,0.475
idempotent,92,3,0,92,0.477
idempotent,93,1,1,93,0.718
idempotent,93,2,0,93,0.491
idempotent,93,3,0,93,0.467
idempotent,94,1,1,94,0.732
idempotent,94,2,0,94,0.472
idempotent,94,3,0,94,2.038
idempotent,95,1,1,95,0.977
idempotent,95,2,0,95,0.459
idempotent,95,3,0,95,0.487
idempotent,96,1,1,96,0.739
idempotent,96,2,0,96,0.471
idempotent,96,3,0,96,0.478
idempotent,97,1,1,97,0.733
idempotent,97,2,0,97,0.489
idempotent,97,3,0,97,0.475
idempotent,98,1,1,98,0.730
idempotent,98,2,0,98,0.453
idempotent,98,3,0,98,0.478
idempotent,99,1,1,99,0.722
idempotent,99,2,0,99,0.498
idempotent,99,3,0,99,0.457
idempotent,100,1,1,100,0.757
idempotent,100,2,0,100,0.492
idempotent,100,3,0,100,0.484
